atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,829.0775180001007,36.42985053563776,21368.924778749555
Addu,Indian_Ocean,Anous_stolidus,943.8412243050598,36.75582081935088,23335.563635661456
Ahe,Polynesia,Anous_stolidus,426.6590918030408,17.622585507706088,9011.443093529604
Ailuk,Micronesia,Anous_stolidus,1403.477581368761,66.30646871060755,32334.029797937295
Anaa,Polynesia,Anous_stolidus,847.5947101355654,40.18838978473966,19659.26757876006
Ant,Micronesia,Anous_stolidus,22.245146339461463,0.6974887978095119,931.5148984791323
Anuanuraro,Polynesia,Anous_stolidus,522.7515424090844,25.803825362570667,11450.37336818169
Anuanurunga,Polynesia,Anous_stolidus,446.5020887376931,20.540454870878996,9398.662363293648
Apataki,Polynesia,Anous_stolidus,564.3682751160603,23.825243403253264,12521.437701024628
Aratika,Polynesia,Anous_stolidus,484.0275923238853,20.694052459132656,9900.069091187253
Arno,Micronesia,Anous_stolidus,455.83658011729676,16.634718453160417,10826.53428726035
Arutua,Polynesia,Anous_stolidus,519.4746723634497,24.086203636897753,11869.21147405371
Aur,Micronesia,Anous_stolidus,642.9382427909748,28.50757146425087,14590.481728459627
Butaritari,Micronesia,Anous_stolidus,879.3198143551892,37.858625378205346,22899.77538965806
Etal,Micronesia,Anous_stolidus,60.3575719438283,2.4777050256505,1681.9352266273934
Fakahina,Polynesia,Anous_stolidus,1039.380905368197,46.40546059603499,21986.908990171705
Fakaofo,Polynesia,Anous_stolidus,425.61352882606195,17.989318652189162,9093.470510336274
Hao,Polynesia,Anous_stolidus,926.3041753902361,37.149010122357595,23815.144427041854
Hereheretui,Polynesia,Anous_stolidus,1209.227989136919,55.67829796766798,23475.60117685464
Kapingamarangi,Micronesia,Anous_stolidus,413.0440301271922,16.324368449382977,9247.572813749894
Kauehi,Polynesia,Anous_stolidus,487.43591837152684,24.323737372633236,12238.270648514115
Kaukura,Polynesia,Anous_stolidus,522.573810430226,21.27723570572494,10893.284824385333
Lae,Micronesia,Anous_stolidus,518.139795122347,26.823773577536645,11975.856043686837
Likiep,Micronesia,Anous_stolidus,1167.6392366115106,51.87225068209139,27161.04880819817
Losap,Micronesia,Anous_stolidus,116.58503943517722,4.576609720697417,2965.238854806192
Lukunor,Micronesia,Anous_stolidus,79.19277523542429,3.0674720958922,2336.1092538564094
Maiana,Micronesia,Anous_stolidus,764.3561616595903,29.34621134714774,20194.825669457092
Majuro,Micronesia,Anous_stolidus,427.81159526817885,17.00974129985664,11162.332972783728
Manihi,Polynesia,Anous_stolidus,587.5705157181155,26.45635942863993,13470.534306823856
Manihiki,Polynesia,Anous_stolidus,570.9849189257676,27.00419990103044,13351.84349733915
Marakei,Micronesia,Anous_stolidus,712.1528882817197,26.972731147123678,17578.523512812146
Maria_Est,Polynesia,Anous_stolidus,329.9836841625009,13.533661853779405,6820.769664678422
Marutea_Sud,Polynesia,Anous_stolidus,840.3561443330651,37.688974556342686,19146.713855671427
Mataiva,Polynesia,Anous_stolidus,496.9248381893983,22.868848507779237,9894.077572136111
Matureivavao,Polynesia,Anous_stolidus,273.20632813994655,12.693145063519951,6613.466504232894
Mili,Micronesia,Anous_stolidus,567.7047778356973,22.618080890651886,13190.654015854998
Mokil,Micronesia,Anous_stolidus,208.51793421230906,8.178972038555761,4845.401757228518
Moruroa,Polynesia,Anous_stolidus,803.4517628849234,35.5631213059075,17858.496749845424
Motu_One,Polynesia,Anous_stolidus,455.5320345923258,18.29347015519437,9119.237441024232
Namoluk,Micronesia,Anous_stolidus,153.8462208677017,6.18517545436031,3631.729544009813
Namu,Micronesia,Anous_stolidus,878.2960846435785,37.865249757067275,20395.86602164584
Napuka,Polynesia,Anous_stolidus,958.7072134647293,42.5098567229033,19597.295777392534
Nengonengo,Polynesia,Anous_stolidus,854.3966503595426,42.95680249363428,18591.374057566583
Ngcheangel,Micronesia,Anous_stolidus,47.28890737156813,1.516739331374441,1568.2100077723499
Niau,Polynesia,Anous_stolidus,423.7317281654305,20.325796874535566,8745.196812185013
